Site,C14Age,C14SD,LabCode,Material,Culture,Latitude,Longitude,Description,Comments,Reference,FullReference,Exclude,Class
Porto da Mina (PA-SA-05),5045,95,SI-1038,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Toca do João do Leite,4970,50,Beta-220089,,Unclassified,-8.7381,-42.7433,Rock shelter.,,Paiva 2011,"Paiva, Beatriz C. 2011. “Tecnologia Lítica Dos Grupos Ceramistas Da Área Arqueológica de São Raimundo Nonato - PI : Um Estudo de Caso Aplicado Ao Sítio Canabrava.” Recife: Universidade Federal de Pernambuco.",FALSE,PC
Nova Olinda (AM-NA-14),4965,65,SI-6573,,Angelim,-5.4997,-60.4096,ADE site.,,Moraes 2013,"Moraes, Claide de Paula. 2013. “Amazônia Ano 1000: Territorialidade e Conflito No Tempo Das Chefias Regionais.” São Paulo: University of São Paulo.",FALSE,NI
Kabakaburi,4890,75,SI-7019,Charcoal,Unclassified,7.2400,-58.7300,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
Alcobaça,4851,30,,,Unclassified,-8.5400,-37.1942,"Rock shelter with burials, including primary cremations in pits, accompanied by ceramics, macro-botanical remains and woven fibres.",,Nascimento 2001,"Nascimento, Ana. 2001. “O Sítio Arqueológico Alcobaça: Buíque, Pernambuco – Estudo Das Estruturas Arqueológicas.” PhD Dissertation, Universidade Federal de Pernambuco.",FALSE,PC
Nova Olinda (AM-NA-14),4800,50,SI-6572,,Angelim,-5.4997,-60.4096,ADE site.,,Moraes 2013,"Moraes, Claide de Paula. 2013. “Amazônia Ano 1000: Territorialidade e Conflito No Tempo Das Chefias Regionais.” São Paulo: University of São Paulo.",FALSE,NI
La Gruta,4790,90,OxA-2532,,Saladoid (La Gruta),7.8200,-65.7700,,"This date is not normally accepted as earliest Saladoid. Early La Gruta dates are not considered Saladoid in the ""short chronology"" model.",Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",TRUE,SB
Nova Olinda (AM-NA-14),4765,110,SI-6571,,Angelim,-5.4997,-60.4096,ADE site.,,Moraes 2013,"Moraes, Claide de Paula. 2013. “Amazônia Ano 1000: Territorialidade e Conflito No Tempo Das Chefias Regionais.” São Paulo: University of São Paulo.",FALSE,NI
Porto da Mina (PA-SA-05),4740,80,SI-2543,Marine shell,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,HZ
Alcobaça,4733,29,,,Unclassified,-8.5400,-37.1942,"Rock shelter with burials, including primary cremations in pits, accompanied by ceramics, macro-botanical remains and woven fibres.",,Nascimento 2001,"Nascimento, Ana. 2001. “O Sítio Arqueológico Alcobaça: Buíque, Pernambuco – Estudo Das Estruturas Arqueológicas.” PhD Dissertation, Universidade Federal de Pernambuco.",FALSE,PC
Toca da Extrema II (PI00077),4730,110,GIF-5401,Charcoal,Unclassified,-8.6093,-42.7189,Rock shelter with parietal art.,,Paiva 2011,"Paiva, Beatriz C. 2011. “Tecnologia Lítica Dos Grupos Ceramistas Da Área Arqueológica de São Raimundo Nonato - PI : Um Estudo de Caso Aplicado Ao Sítio Canabrava.” Recife: Universidade Federal de Pernambuco.",FALSE,PC
Porto da Mina (PA-SA-05),4720,65,SI-1037,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Alcobaça,4697,30,,,Unclassified,-8.5400,-37.1942,"Rock shelter with burials, including primary cremations in pits, accompanied by ceramics, macro-botanical remains and woven fibres.",,Nascimento 2001,"Nascimento, Ana. 2001. “O Sítio Arqueológico Alcobaça: Buíque, Pernambuco – Estudo Das Estruturas Arqueológicas.” PhD Dissertation, Universidade Federal de Pernambuco.",FALSE,PC
Porto da Mina (PA-SA-05),4695,80,SI-2545,Marine shell,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,HZ
Porto da Mina (PA-SA-05),4610,55,SI-1035,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Barabina,4525,75,SI-5742,Peat,Unclassified,8.2085,-59.8169,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
Ponta das Pedras (PA-SA-06),4500,90,SI-1030,Charcoal,Mina,-0.8500,-46.9300,Shell mound 9 m high with burials.,,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Boa Vista,4470,40,Beta-294080,,Pré-Pocó-Açutuba,-8.8445,-63.9767,,"Zuse (2014) suggests the ""incised and painted"" pottery has affinities with Saladoid, Pocó-Açutuba, Tutishcainyo and Shakimu complexes, but considers the date problematic.",Zuse 2014,"Zuse, Silvana. 2014. “Variabilidade Cerâmica e Diversidade Cultural No Alto Rio Madeira, Rondônia.” São Paulo: University of São Paulo.",TRUE,SB
Monte Castelo (RO-PN-08),4455,100,SI-6852,,Unclassified,-12.5541,-63.0978,Shell mound over 6 m high with long history of occupation. The mound was constructed of shell layers intercalated with occupation layers of dark earth containing primary burials.,"Pre-ceramic, but associated with microbotanical remains of maize (Hilbert et al. 2017).",Pugliese Jr. 2018,"Pugliese Jr., Francisco Antonio. 2018. “A História Indígena Profunda Do Sambaqui Monte Castelo.” Universidade de São Paulo.",FALSE,NI
Monte Castelo (RO-PN-08),4395,70,SI-6848,,Unclassified,-12.5541,-63.0978,Shell mound over 6 m high with long history of occupation. The mound was constructed of shell layers intercalated with occupation layers of dark earth containing primary burials.,"Pre-ceramic, but associated with microbotanical remains of maize (Hilbert et al. 2017).",Pugliese Jr. 2018,"Pugliese Jr., Francisco Antonio. 2018. “A História Indígena Profunda Do Sambaqui Monte Castelo.” Universidade de São Paulo.",FALSE,NI
Justino (SE00021),4380,70,Beta-86741,Charcoal,Canindé,-9.5974,-43.8375,"Large funerary site with over 160 burials. Both primary inhumations and secondary urn burials were found, accompanied by ceramics, adornments and hearths. Cremations and disarticulated bones were also recorded.",,Vergne 2004,"Vergne, Cleonice. 2004. “Arqueologia Do Baixo São Francisco: Estruturas Funerárias Do Sítio Justino - Região Do Xingó, Canindé Do São Francisco, Segipe.” PhD Dissertation, Universidade de São Paulo.",FALSE,PC
Porto da Mina (PA-SA-05),4380,80,SI-2544,Ceramic temper,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Monte Castelo (RO-PN-08),4350,130,Beta-103186,,Sinimbu,-12.5541,-63.0978,Shell mound over 6 m high with long history of occupation. The mound was constructed of shell layers intercalated with occupation layers of dark earth containing primary burials.,"Pre-ceramic, but associated with microbotanical remains of maize (Hilbert et al. 2017).",Pugliese Jr. 2018,"Pugliese Jr., Francisco Antonio. 2018. “A História Indígena Profunda Do Sambaqui Monte Castelo.” Universidade de São Paulo.",FALSE,NI
Porto da Mina (PA-SA-05),4340,235,GX-2473,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",SD too large.,Gaspar and Silveira 1999,"Gaspar, Maria Dulce, and M I Silveira. 1999. “Os Pescadores-Coletores-Caçadores Do Litoral Norte Brasileiro.” In Pré-História Da Terra Brasilis, edited by Maria Cristina Tenório, 247–56. Rio de Janeiro: UFRJ.",TRUE,HZ
Toca do Pinga do Boi (PI00554),4340,35,Ua-34702,Charcoal,Unclassified,-8.5542,-42.6809,Rock shelter with parietal art.,The date is not associated with ceramics (Buco 2012).,Arnaldo 2012,"Arnaldo, Emilia M A. 2012. “Uso e Ocupação Dos Espaços Pelos Grupos Ceramistas Da Serra Branca- Sudeste Do Piauí.” Recife: Universidade Federal de Pernambuco.",TRUE,NI
Monte Castelo (RO-PN-08),4300,80,SI-6855,,Sinimbu,-12.5541,-63.0978,Shell mound over 6 m high with long history of occupation. The mound was constructed of shell layers intercalated with occupation layers of dark earth containing primary burials.,"Pre-ceramic, but associated with microbotanical remains of maize (Hilbert et al. 2017).",Pugliese Jr. 2018,"Pugliese Jr., Francisco Antonio. 2018. “A História Indígena Profunda Do Sambaqui Monte Castelo.” Universidade de São Paulo.",FALSE,NI
Toca do Morcego,4290,110,GIF-5405,Charcoal,Unclassified,-8.4905,-42.6409,Rock shelter with parietal art.,May be preceramic.,Arnaldo 2012,"Arnaldo, Emilia M A. 2012. “Uso e Ocupação Dos Espaços Pelos Grupos Ceramistas Da Serra Branca- Sudeste Do Piauí.” Recife: Universidade Federal de Pernambuco.",TRUE,NI
La Betania,4270,160,IVIC-42,Charcoal,Osoid,8.2000,-70.0833,Mound site.,Date is too old and an outlier in the sequence.,Tamers 1965,"Tamers, M. A. 1965. “Instituto Venezolano De Investigaciones Cientificas Natural Radiocarbon Measurements I Instituto Venezolano De Investigaciones Cientificas Natural Radiocarbon Measurements I.” Radiocarbon 7: 54–65.",TRUE,NI
Alcobaça,4243,26,,,Unclassified,-8.5400,-37.1942,"Rock shelter with burials, including primary cremations in pits, accompanied by ceramics, macro-botanical remains and woven fibres.",,Nascimento 2001,"Nascimento, Ana. 2001. “O Sítio Arqueológico Alcobaça: Buíque, Pernambuco – Estudo Das Estruturas Arqueológicas.” PhD Dissertation, Universidade Federal de Pernambuco.",FALSE,PC
Urupá (RO-JI-15),4230,100,,,Proto-Tupiguarani,-10.9557,-61.9574,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,TP
Los Ajos,4190,40,Beta-158280,Charcoal,Cerritos,-33.7008,-53.9588,"Large mound site (12 ha) with 15 mounds, including an inner precinct consisting of seven platform mounds arranged in a circle. Excavations revealed domestic debris and disarticulated burials.",,Iriarte 2003,"Iriarte, José. 2003. “Mid-Holocene Emergent Complexity and Landscape Transformation: The Social Construction of Early Formative Communities in Uruguay, La Plata Basin.” Lexington: University of Kentucky.",FALSE,NI
Huasaga,4155,75,ISGS-385,,Pastaza (Pastaza),-2.5700,-77.2400,ADE site (1.5 ha).,The date is considered an outlier.,Porras 1975,"Porras, Pedro I. 1975. “Fase Pastaza: El Formativo En El Oriente Ecuatoriano.” Revista de La Universidad Católica 3 (10).",TRUE,TT
São José II (AL00045),4140,90,Beta-86740,Charcoal,Canindé,-9.5383,-37.9002,"The site contained 30 burials, mostly primary, but also secondary deposits in urns.",,Herrera et al. 1987,"Herrera, L. F., I. Cavelier, and S. Mora. 1987. “Informe de Actividades: Proyecto Ecología y Cultura.” Bogotá: Instituto Colombiano de Antropología.",FALSE,PC
Barabina,4115,50,SI-4332,Charcoal,Unclassified,8.2085,-59.8169,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
La Gruta,4090,105,I-8970,,Saladoid (La Gruta),7.8200,-65.7700,,"Early La Gruta dates are not considered Saladoid in the ""short chronology"" model.",Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",FALSE,SB
Ponta das Pedras (PA-SA-06),4090,95,SI-1031,Charcoal,Mina,-0.8500,-46.9300,Shell mound 9 m high with burials.,,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
La Gruta,4065,85,I-8548,,Saladoid (La Gruta),7.8200,-65.7700,,"Early La Gruta dates are not considered Saladoid in the ""short chronology"" model.",Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",FALSE,SB
Huasaga,4000,100,SI-1-9158,,Pastaza (Pastaza),-2.5700,-77.2400,ADE site (1.5 ha).,The date is considered an outlier.,Porras 1975,"Porras, Pedro I. 1975. “Fase Pastaza: El Formativo En El Oriente Ecuatoriano.” Revista de La Universidad Católica 3 (10).",TRUE,TT
Alcobaça,4000,28,,,Unclassified,-8.5400,-37.1942,"Rock shelter with burials, including primary cremations in pits, accompanied by ceramics, macro-botanical remains and woven fibres.",,Nascimento 2001,"Nascimento, Ana. 2001. “O Sítio Arqueológico Alcobaça: Buíque, Pernambuco – Estudo Das Estruturas Arqueológicas.” PhD Dissertation, Universidade Federal de Pernambuco.",FALSE,PC
Nova Vida (RO-JI-17),3990,70,,,Proto-Tupiguarani,-10.6987,-61.8788,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,TP
Agüerito,3980,150,GX-5180,,Saladoid (La Gruta),7.6000,-66.3833,,"Early La Gruta dates are not considered Saladoid in the ""short chronology"" model.",Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",FALSE,SB
Hosororo Creek,3975,45,SI-6638A,Peat,Alaka,8.1724,-59.8092,Shell mound.,,Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
